STUDENT_ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES_QUARTILE,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION,DESTINATION (including deferrals)
16042,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,Medium,Upper-middle,Australia,Yes,Bachelor degree,Bachelor degree
16043,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16044,North-Eastern Victoria,Non-Metropolitan,Government,Murrindindi,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16045,North-Eastern Victoria,Metropolitan,Government,Boroondara,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16046,North-Western Victoria,Metropolitan,Government,Yarra,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16047,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16048,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16049,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16050,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Low - Medium,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
16051,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Lowest,Lowest,Australia,No,Bachelor degree,Bachelor degree
16052,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16053,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16054,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16055,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16056,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16057,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16058,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,Yes,Bachelor degree,Bachelor degree
16059,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16060,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE VET,Lowest,Lowest,Australia,No,Bachelor degree,Bachelor degree
